kernel;batch_size;step;time_ms
fused-matmul-sample;1;triton_kernel;1.326
fused-matmul-sample;1;max-reduction;0.014
flashinfer:sampling_from_logits;1;matmul;1.332
flashinfer:sampling_from_logits;1;other;0.010
flashinfer:sampling_from_logits;1;flashinfer:sampling_from_logits;0.080
fused-matmul-sample;256;triton_kernel;3.137
fused-matmul-sample;256;max-reduction;0.035
flashinfer:sampling_from_logits;256;matmul;1.633
flashinfer:sampling_from_logits;256;other;0.090
flashinfer:sampling_from_logits;256;flashinfer:sampling_from_logits;0.403
